노선명,size,min,max,mean
6638,281,0.0,5.732345114645762,2.291898070601824
6640A,518,0.0,10.537937908193337,3.6436150389489597
6640B,510,0.0,10.603635814787564,3.69532775982711
6642,583,0.0,7.019146299569875,2.2060044814945527
6645,531,0.0,6.689631434810421,2.0728828616135786
6647,429,0.0,5.075007892474184,1.5117845459199024
6648,858,0.0,10.359065914658673,2.8286568366611036
6649,73,0.0,2.963643639906114,1.2840807906598106
6654,207,0.0,4.115163298442133,1.5783036074510295
6657,477,0.0,7.879565242495536,3.096058195380626
6712,788,0.0,17.60887007175834,4.960471638536455
6713,640,0.0,13.610729708955544,4.3061337258256325
6714,787,0.0,16.48045631552687,5.231999362402458
6715,706,0.0,11.29779111650278,4.154191503242684
6716,1419,0.0,18.32882167801419,5.144303741489724
672,800,0.0,18.342120842333152,5.776607037051811
673,521,0.0,16.252159399121354,5.479249682419395
674,571,0.0,14.27923786968461,4.690174630452598
700,377,0.0,12.670348795554542,4.651047240065066
701,838,0.0,14.630446181654131,5.002198021530352
7011,1013,0.0,15.19566937164435,4.28081996757083
7013A,592,0.0,12.07702601384689,2.848981762270259
7013B,566,0.0,12.614138990494034,2.876397507851413
7016,1343,0.0,13.102673574318613,3.93665252759117
7017,1162,0.0,11.354114146212961,3.388154110340243
7018,605,0.0,8.944293687920124,3.375921261526079
7019,993,0.0,8.689435397837967,3.167116708348364
7021,1061,0.0,12.595856877052487,3.6728111811494295
7022,845,0.0,11.367405418523273,3.9661244355296046
7024,156,0.0,5.0626310168807676,1.6510386796151357
7025,699,0.0,16.640138259798142,3.8102260340633505
702A서오릉,676,0.0,12.272275661217735,4.430697053251341
702B용두초교,595,0.0,12.166445613917237,4.192965437612732
703,323,0.0,13.691321449682524,4.426917942558195
704,667,0.0,14.176889272972076,5.133435195339751
705,464,0.0,15.081773565860821,5.001387863200683
708,631,0.0,14.898670072183627,5.291268506537823
710,1126,0.0,20.728203057421123,8.263895620555232
720,2169,0.0,21.20753203656943,6.760800443390107
721,1774,0.0,22.541539747665183,7.783537535721238
7211,1774,0.0,16.52492490662684,5.878915524390568
7212,964,0.0,14.91391044190976,3.1431112851878247
740,1557,0.0,24.148259329587056,7.630453437399261
741,1486,0.0,33.616156230605355,9.448233319314166
742,2180,0.0,20.158508496714287,4.614086228398074
750A,1090,0.0,17.778802645431586,6.130262674758701
750B,983,0.0,17.778802645431586,5.7986318467481235
752,1700,0.0,19.680388351823115,5.713602316070329
753,1657,0.0,17.123515061762607,4.970449311019515
760,217,0.0,9.985524731006645,4.668275598414715
761,1369,0.0,16.61592544815549,4.705555555901136
7611,1035,0.0,11.477111337598307,3.35521747114664
7612,508,0.0,9.162142966553073,3.509110175575925
